January 2020 Kansas County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
KS-001,"Allen County",2.43,112,1.12,1.31
KS-003,"Anderson County",2.36,113,1.12,1.24
KS-005,"Atchison County",1.35,99,0.41,0.94
KS-007,"Barber County",1.29,109,0.61,0.68
KS-009,"Barton County",1.24,117,0.7,0.54
KS-011,"Bourbon County",3.12,114,1.6,1.52
KS-013,"Brown County",1.0,84,0.11,0.89
KS-015,"Butler County",2.03,118,1.2,0.83
KS-017,"Chase County",1.63,115,0.86,0.77
KS-019,"Chautauqua County",2.08,106,0.87,1.21
KS-021,"Cherokee County",4.12,119,2.4,1.72
KS-023,"Cheyenne County",0.41,83,0.04,0.37
KS-025,"Clark County",2.04,123,1.54,0.5
KS-027,"Clay County",1.31,113,0.63,0.68
KS-029,"Cloud County",1.31,117,0.69,0.62
KS-031,"Coffey County",2.34,116,1.32,1.02
KS-033,"Comanche County",1.8,121,1.24,0.56
KS-035,"Cowley County",1.58,103,0.63,0.95
KS-037,"Crawford County",3.55,116,1.97,1.58
KS-039,"Decatur County",0.57,96,0.18,0.39
KS-041,"Dickinson County",1.66,119,0.95,0.71
KS-043,"Doniphan County",1.77,111,0.8,0.97
KS-045,"Douglas County",2.25,115,1.19,1.06
KS-047,"Edwards County",1.02,109,0.52,0.5
KS-049,"Elk County",1.55,100,0.46,1.09
KS-051,"Ellis County",0.85,107,0.4,0.45
KS-053,"Ellsworth County",1.24,108,0.63,0.61
KS-055,"Finney County",0.89,111,0.49,0.4
KS-057,"Ford County",1.3,118,0.83,0.47
KS-059,"Franklin County",2.01,109,0.89,1.12
KS-061,"Geary County",1.8,118,1.02,0.78
KS-063,"Gove County",0.55,98,0.18,0.37
KS-065,"Graham County",0.55,90,0.12,0.43
KS-067,"Grant County",0.91,116,0.56,0.35
KS-069,"Gray County",1.11,118,0.69,0.42
KS-071,"Greeley County",0.35,80,0.02,0.33
KS-073,"Greenwood County",2.17,117,1.23,0.94
KS-075,"Hamilton County",0.45,93,0.11,0.34
KS-077,"Harper County",2.02,119,1.26,0.76
KS-079,"Harvey County",1.35,106,0.64,0.71
KS-081,"Haskell County",1.09,117,0.69,0.4
KS-083,"Hodgeman County",0.88,110,0.44,0.44
KS-085,"Jackson County",0.88,76,0.04,0.84
KS-087,"Jefferson County",1.67,108,0.7,0.97
KS-089,"Jewell County",1.06,110,0.51,0.55
KS-091,"Johnson County",2.23,112,1.01,1.22
KS-093,"Kearny County",0.85,111,0.47,0.38
