March 2020 New York County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NY-001,"Albany County",2.58,53,-0.42,3
NY-003,"Allegany County",2.76,72,-0.0,2.76
NY-005,"Bronx County",3.77,62,-0.23,4
NY-007,"Broome County",2.4,40,-0.53,2.93
NY-009,"Cattaraugus County",3.39,80,0.18,3.21
NY-011,"Cayuga County",2.57,62,-0.15,2.72
NY-013,"Chautauqua County",3.89,99,0.76,3.13
NY-015,"Chemung County",2.03,41,-0.58,2.61
NY-017,"Chenango County",2.58,42,-0.54,3.12
NY-019,"Clinton County",2.57,70,0.13,2.44
NY-021,"Columbia County",2.56,46,-0.47,3.03
NY-023,"Cortland County",2.54,37,-0.57,3.11
NY-025,"Delaware County",2.6,43,-0.55,3.15
NY-027,"Dutchess County",2.56,39,-0.95,3.51
NY-029,"Erie County",3.1,85,0.29,2.81
NY-031,"Essex County",3.02,55,-0.14,3.16
NY-033,"Franklin County",2.84,67,0.14,2.7
NY-035,"Fulton County",3.23,54,-0.28,3.51
NY-037,"Genesee County",2.43,72,-0.01,2.44
NY-039,"Greene County",2.44,32,-1.08,3.52
NY-041,"Hamilton County",3.47,56,-0.15,3.62
NY-043,"Herkimer County",3.25,55,-0.21,3.46
NY-045,"Jefferson County",3.11,78,0.28,2.83
NY-047,"Kings County",3.89,61,-0.13,4.02
NY-049,"Lewis County",3.18,58,-0.14,3.32
NY-051,"Livingston County",1.99,50,-0.37,2.36
NY-053,"Madison County",2.41,35,-0.59,3
NY-055,"Monroe County",1.81,41,-0.6,2.41
NY-057,"Montgomery County",2.65,51,-0.37,3.02
NY-059,"Nassau County",3.82,57,-0.3,4.12
NY-061,"New York County",3.83,62,-0.19,4.02
NY-063,"Niagara County",2.45,79,0.1,2.35
NY-065,"Oneida County",3.36,66,-0.02,3.38
NY-067,"Onondaga County",2.87,72,-0.04,2.91
NY-069,"Ontario County",1.94,48,-0.44,2.38
NY-071,"Orange County",3.05,51,-0.52,3.57
NY-073,"Orleans County",2.31,67,-0.05,2.36
NY-075,"Oswego County",3.13,69,0.01,3.12
NY-077,"Otsego County",2.75,49,-0.38,3.13
NY-079,"Putnam County",2.96,40,-1.07,4.03
NY-081,"Queens County",3.96,67,-0.09,4.05
NY-083,"Rensselaer County",2.52,48,-0.37,2.89
NY-085,"Richmond County",3.83,63,-0.19,4.02
NY-087,"Rockland County",3.14,40,-0.79,3.93
NY-089,"St. Lawrence County",2.96,77,0.26,2.7
NY-091,"Saratoga County",3.12,57,-0.2,3.32
NY-093,"Schenectady County",2.7,54,-0.32,3.02
NY-095,"Schoharie County",2.52,43,-0.57,3.09
NY-097,"Schuyler County",2.16,51,-0.3,2.46
NY-099,"Seneca County",2.17,55,-0.28,2.45
NY-101,"Steuben County",2.39,62,-0.11,2.5
NY-103,"Suffolk County",3.91,59,-0.29,4.2
NY-105,"Sullivan County",3.04,49,-0.48,3.52
NY-107,"Tioga County",2.12,38,-0.67,2.79
NY-109,"Tompkins County",2.23,41,-0.46,2.69
NY-111,"Ulster County",2.65,33,-1.16,3.81
NY-113,"Warren County",3.4,64,-0.05,3.45
NY-115,"Washington County",2.69,60,-0.12,2.81
NY-117,"Wayne County",1.78,32,-0.69,2.47
NY-119,"Westchester County",3.22,43,-0.85,4.07
NY-121,"Wyoming County",2.67,67,-0.04,2.71
NY-123,"Yates County",2.12,59,-0.19,2.31
