April 2020 Maine County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
ME-001,"Androscoggin County",40.9,50,-0.3,41.2
ME-003,"Aroostook County",35.5,45,-0.7,36.2
ME-005,"Cumberland County",41.3,50,-0.5,41.8
ME-007,"Franklin County",35.9,54,-0.4,36.3
ME-009,"Hancock County",40.6,54,-0.2,40.8
ME-011,"Kennebec County",40.8,52,-0.3,41.1
ME-013,"Knox County",39.8,40,-1.0,40.8
ME-015,"Lincoln County",40.5,45,-0.7,41.2
ME-017,"Oxford County",38.1,49,-0.5,38.6
ME-019,"Penobscot County",39.2,51,-0.4,39.6
ME-021,"Piscataquis County",36.4,59,-0.3,36.7
ME-023,"Sagadahoc County",40.8,44,-0.8,41.6
ME-025,"Somerset County",36.4,53,-0.3,36.7
ME-027,"Waldo County",40.0,46,-0.7,40.7
ME-029,"Washington County",40.8,75,0.9,39.9
ME-031,"York County",41.9,52,-0.6,42.5
