March 2020 Nebraska County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NE-001,"Adams County",43.3,109,5.7,37.6
NE-003,"Antelope County",39.7,103,5.2,34.5
NE-005,"Arthur County",39.9,105,4.9,35
NE-007,"Banner County",39.5,108,4.7,34.8
NE-009,"Blaine County",40.5,106,5.3,35.2
NE-011,"Boone County",40.8,109,5.9,34.9
NE-013,"Box Butte County",37.9,100,4.0,33.9
NE-015,"Boyd County",40.1,106,5.8,34.3
NE-017,"Brown County",40.4,110,6.1,34.3
NE-019,"Buffalo County",42.4,108,5.7,36.7
NE-021,"Burt County",40.8,103,5.0,35.8
NE-023,"Butler County",41.1,99,4.5,36.6
NE-025,"Cass County",43.4,107,5.4,38
NE-027,"Cedar County",39.8,109,5.9,33.9
NE-029,"Chase County",43.5,114,6.0,37.5
NE-031,"Cherry County",39.6,111,6.0,33.6
NE-033,"Cheyenne County",40.0,102,4.3,35.7
NE-035,"Clay County",43.6,111,5.8,37.8
NE-037,"Colfax County",40.8,102,4.8,36
NE-039,"Cuming County",40.0,98,4.6,35.4
NE-041,"Custer County",41.1,108,5.6,35.5
NE-043,"Dakota County",40.0,105,5.3,34.7
NE-045,"Dawes County",38.7,101,4.5,34.2
NE-047,"Dawson County",42.5,109,5.3,37.2
NE-049,"Deuel County",41.3,100,4.6,36.7
NE-051,"Dixon County",39.3,101,5.0,34.3
NE-053,"Dodge County",41.4,103,5.0,36.4
NE-055,"Douglas County",43.3,111,6.0,37.3
NE-057,"Dundy County",43.7,110,5.3,38.4
NE-059,"Fillmore County",43.2,109,5.2,38
NE-061,"Franklin County",43.7,103,4.9,38.8
NE-063,"Frontier County",43.2,107,5.4,37.8
NE-065,"Furnas County",44.4,108,5.4,39
NE-067,"Gage County",43.8,104,4.8,39
NE-069,"Garden County",39.8,99,4.6,35.2
NE-071,"Garfield County",40.1,108,5.8,34.3
NE-073,"Gosper County",43.4,108,5.3,38.1
NE-075,"Grant County",38.6,103,4.6,34
NE-077,"Greeley County",41.0,109,5.9,35.1
NE-079,"Hall County",42.6,110,5.7,36.9
NE-081,"Hamilton County",42.8,107,5.6,37.2
NE-083,"Harlan County",44.2,104,5.2,39
NE-085,"Hayes County",42.8,109,5.3,37.5
NE-087,"Hitchcock County",43.8,106,5.2,38.6
NE-089,"Holt County",39.6,105,5.6,34
NE-091,"Hooker County",39.3,102,4.8,34.5
NE-093,"Howard County",41.9,107,5.6,36.3
NE-095,"Jefferson County",44.1,105,5.3,38.8
NE-097,"Johnson County",44.0,105,5.0,39
NE-099,"Kearney County",42.9,105,5.5,37.4
NE-101,"Keith County",41.9,107,5.3,36.6
NE-103,"Keya Paha County",40.2,113,6.6,33.6
NE-105,"Kimball County",38.9,108,4.6,34.3
NE-107,"Knox County",40.2,108,5.9,34.3
NE-109,"Lancaster County",43.4,109,5.4,38
NE-111,"Lincoln County",42.2,109,5.6,36.6
NE-113,"Logan County",41.0,108,5.6,35.4
NE-115,"Loup County",40.2,107,5.6,34.6
NE-117,"McPherson County",40.5,105,5.3,35.2
NE-119,"Madison County",40.2,104,5.2,35
NE-121,"Merrick County",42.2,107,5.5,36.7
NE-123,"Morrill County",39.6,101,4.2,35.4
NE-125,"Nance County",41.7,107,5.7,36
NE-127,"Nemaha County",45.3,110,5.7,39.6
NE-129,"Nuckolls County",43.9,108,5.4,38.5
NE-131,"Otoe County",43.6,105,4.9,38.7
NE-133,"Pawnee County",44.5,104,4.9,39.6
NE-135,"Perkins County",42.8,113,6.0,36.8
NE-137,"Phelps County",43.0,104,5.3,37.7
NE-139,"Pierce County",39.6,104,5.3,34.3
NE-141,"Platte County",41.0,105,5.3,35.7
NE-143,"Polk County",41.5,104,4.8,36.7
NE-145,"Red Willow County",44.3,108,5.7,38.6
NE-147,"Richardson County",46.2,112,6.1,40.1
NE-149,"Rock County",39.8,107,5.9,33.9
NE-151,"Saline County",43.2,104,5.0,38.2
NE-153,"Sarpy County",43.6,111,5.9,37.7
NE-155,"Saunders County",42.7,109,5.6,37.1
NE-157,"Scotts Bluff County",40.2,104,4.5,35.7
NE-159,"Seward County",42.2,102,4.7,37.5
NE-161,"Sheridan County",38.6,106,5.1,33.5
NE-163,"Sherman County",41.5,110,5.6,35.9
NE-165,"Sioux County",37.6,101,4.3,33.3
NE-167,"Stanton County",40.1,102,4.9,35.2
NE-169,"Thayer County",44.0,107,5.3,38.7
NE-171,"Thomas County",40.3,103,5.1,35.2
NE-173,"Thurston County",39.9,104,5.0,34.9
NE-175,"Valley County",40.8,111,5.8,35
NE-177,"Washington County",42.2,108,5.5,36.7
NE-179,"Wayne County",39.3,100,4.8,34.5
NE-181,"Webster County",43.8,103,5.1,38.7
NE-183,"Wheeler County",40.6,112,6.2,34.4
NE-185,"York County",42.3,105,4.8,37.5
