January 2020 Maine County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
ME-001,"Androscoggin County",24.6,118,7.2,17.4
ME-003,"Aroostook County",15.7,117,6.8,8.9
ME-005,"Cumberland County",25.7,117,6.7,19
ME-007,"Franklin County",20.3,120,8.5,11.8
ME-009,"Hancock County",25.2,119,6.9,18.3
ME-011,"Kennebec County",24.7,118,7.7,17
ME-013,"Knox County",26.5,115,6.5,20
ME-015,"Lincoln County",26.5,115,6.8,19.7
ME-017,"Oxford County",22.5,119,8.4,14.1
ME-019,"Penobscot County",21.9,120,8.1,13.8
ME-021,"Piscataquis County",18.7,120,8.4,10.3
ME-023,"Sagadahoc County",26.4,116,6.8,19.6
ME-025,"Somerset County",19.2,120,8.2,11
ME-027,"Waldo County",24.5,118,7.0,17.5
ME-029,"Washington County",24.9,120,7.7,17.2
ME-031,"York County",27.6,118,7.2,20.4
