January 2020 Indiana County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IN-001,"Adams County",32.7,118,8.2,24.5
IN-003,"Allen County",32.0,118,8.0,24
IN-005,"Bartholomew County",36.4,120,7.7,28.7
IN-007,"Benton County",31.5,118,7.8,23.7
IN-009,"Blackford County",33.8,119,8.4,25.4
IN-011,"Boone County",33.1,118,8.0,25.1
IN-013,"Brown County",35.3,119,7.4,27.9
IN-015,"Carroll County",32.8,118,8.2,24.6
IN-017,"Cass County",32.6,119,8.4,24.2
IN-019,"Clark County",38.7,118,7.7,31
IN-021,"Clay County",35.2,119,7.9,27.3
IN-023,"Clinton County",32.6,118,7.8,24.8
IN-025,"Crawford County",37.5,112,6.3,31.2
IN-027,"Daviess County",36.7,118,7.4,29.3
IN-029,"Dearborn County",37.0,119,7.7,29.3
IN-031,"Decatur County",35.7,118,7.4,28.3
IN-033,"DeKalb County",31.1,118,8.0,23.1
IN-035,"Delaware County",34.8,121,9.0,25.8
IN-037,"Dubois County",37.2,115,6.7,30.5
IN-039,"Elkhart County",31.3,120,8.5,22.8
IN-041,"Fayette County",34.6,119,7.7,26.9
IN-043,"Floyd County",38.9,118,7.6,31.3
IN-045,"Fountain County",32.6,118,7.3,25.3
IN-047,"Franklin County",35.5,119,7.4,28.1
IN-049,"Fulton County",31.9,121,8.7,23.2
IN-051,"Gibson County",38.2,121,7.2,31
IN-053,"Grant County",33.6,120,8.3,25.3
IN-055,"Greene County",36.0,120,8.1,27.9
IN-057,"Hamilton County",34.3,120,8.4,25.9
IN-059,"Hancock County",34.6,120,8.0,26.6
IN-061,"Harrison County",38.9,116,7.3,31.6
IN-063,"Hendricks County",33.5,117,7.4,26.1
IN-065,"Henry County",34.1,120,8.4,25.7
IN-067,"Howard County",32.9,118,8.1,24.8
IN-069,"Huntington County",32.8,120,8.2,24.6
IN-071,"Jackson County",36.8,117,7.4,29.4
IN-073,"Jasper County",31.4,119,8.1,23.3
IN-075,"Jay County",33.5,120,8.3,25.2
IN-077,"Jefferson County",38.0,120,8.0,30
IN-079,"Jennings County",37.0,119,7.6,29.4
IN-081,"Johnson County",34.8,120,7.7,27.1
IN-083,"Knox County",37.0,119,7.4,29.6
IN-085,"Kosciusko County",31.8,119,8.6,23.2
IN-087,"LaGrange County",31.1,121,8.4,22.7
IN-089,"Lake County",31.2,120,8.2,23
IN-091,"LaPorte County",31.2,120,8.1,23.1
IN-093,"Lawrence County",36.0,117,7.2,28.8
IN-095,"Madison County",34.8,120,8.8,26
IN-097,"Marion County",34.4,120,7.7,26.7
IN-099,"Marshall County",31.4,120,8.6,22.8
IN-101,"Martin County",36.5,118,7.5,29
IN-103,"Miami County",32.5,118,8.1,24.4
IN-105,"Monroe County",35.0,119,7.4,27.6
IN-107,"Montgomery County",32.8,118,7.7,25.1
IN-109,"Morgan County",34.6,119,7.4,27.2
IN-111,"Newton County",31.7,120,8.4,23.3
IN-113,"Noble County",31.5,121,8.5,23
IN-115,"Ohio County",38.1,120,8.1,30
IN-117,"Orange County",36.9,114,6.9,30
IN-119,"Owen County",35.2,120,7.8,27.4
IN-121,"Parke County",33.1,116,6.7,26.4
IN-123,"Perry County",37.9,107,5.6,32.3
IN-125,"Pike County",37.5,120,7.2,30.3
IN-127,"Porter County",31.2,120,8.2,23
IN-129,"Posey County",37.7,110,5.5,32.2
IN-131,"Pulaski County",31.8,120,8.5,23.3
IN-133,"Putnam County",33.5,118,7.2,26.3
IN-135,"Randolph County",33.9,120,8.6,25.3
IN-137,"Ripley County",36.4,119,7.6,28.8
IN-139,"Rush County",34.8,119,7.8,27
IN-141,"St. Joseph County",31.3,120,8.4,22.9
IN-143,"Scott County",37.9,119,7.8,30.1
IN-145,"Shelby County",35.5,120,7.9,27.6
IN-147,"Spencer County",37.8,107,5.5,32.3
IN-149,"Starke County",31.5,121,8.5,23
IN-151,"Steuben County",30.6,119,8.3,22.3
IN-153,"Sullivan County",36.4,120,8.2,28.2
IN-155,"Switzerland County",38.6,119,8.3,30.3
IN-157,"Tippecanoe County",32.5,118,7.8,24.7
IN-159,"Tipton County",33.2,118,8.1,25.1
IN-161,"Union County",34.8,118,7.7,27.1
IN-163,"Vanderburgh County",37.8,111,5.7,32.1
IN-165,"Vermillion County",33.2,117,6.8,26.4
IN-167,"Vigo County",35.2,119,7.8,27.4
IN-169,"Wabash County",32.4,119,7.8,24.6
IN-171,"Warren County",32.0,117,7.3,24.7
IN-173,"Warrick County",37.7,114,6.1,31.6
IN-175,"Washington County",37.2,116,7.4,29.8
IN-177,"Wayne County",34.3,120,8.2,26.1
IN-179,"Wells County",33.0,118,8.3,24.7
IN-181,"White County",31.9,118,8.0,23.9
IN-183,"Whitley County",32.2,120,8.5,23.7
