January 2020 Texas County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
TX-001,"Anderson County",3.6,74,0.37,3.23
TX-003,"Andrews County",0.61,87,0.13,0.48
TX-005,"Angelina County",5.92,94,1.66,4.26
TX-007,"Aransas County",1.87,69,-0.2,2.07
TX-009,"Archer County",2.7,119,1.55,1.15
TX-011,"Armstrong County",0.32,57,-0.21,0.53
TX-013,"Atascosa County",1.08,70,-0.25,1.33
TX-015,"Austin County",2.98,72,0.02,2.96
TX-017,"Bailey County",0.37,66,-0.08,0.45
TX-019,"Bandera County",2.82,102,1.4,1.42
TX-021,"Bastrop County",2.49,80,0.16,2.33
TX-023,"Baylor County",2.74,120,1.76,0.98
TX-025,"Bee County",1.29,62,-0.3,1.59
TX-027,"Bell County",2.5,82,0.49,2.01
TX-029,"Bexar County",1.79,82,0.18,1.61
TX-031,"Blanco County",2.15,86,0.47,1.68
TX-033,"Borden County",1.17,105,0.58,0.59
TX-035,"Bosque County",2.69,89,0.79,1.9
TX-037,"Bowie County",6.11,109,2.41,3.7
TX-039,"Brazoria County",4.97,99,1.57,3.4
TX-041,"Brazos County",2.68,62,-0.34,3.02
TX-043,"Brewster County",0.52,87,0.08,0.44
TX-045,"Briscoe County",0.55,77,0.01,0.54
TX-047,"Brooks County",0.3,25,-0.89,1.19
TX-049,"Brown County",2.18,100,0.89,1.29
TX-051,"Burleson County",2.26,58,-0.55,2.81
TX-053,"Burnet County",2.28,89,0.65,1.63
TX-055,"Caldwell County",2.43,86,0.37,2.06
TX-057,"Calhoun County",3.72,100,1.35,2.37
TX-059,"Callahan County",2.06,103,0.96,1.1
TX-061,"Cameron County",0.47,34,-0.9,1.37
TX-063,"Camp County",5.68,113,2.36,3.32
TX-065,"Carson County",0.29,51,-0.23,0.52
TX-067,"Cass County",5.05,96,1.24,3.81
TX-069,"Castro County",0.3,60,-0.16,0.46
TX-071,"Chambers County",5.17,85,1.03,4.14
TX-073,"Cherokee County",4.86,89,1.15,3.71
TX-075,"Childress County",1.21,102,0.55,0.66
TX-077,"Clay County",2.86,116,1.58,1.28
TX-079,"Cochran County",0.23,54,-0.21,0.44
TX-081,"Coke County",1.06,90,0.22,0.84
TX-083,"Coleman County",2.14,104,0.98,1.16
TX-085,"Collin County",3.2,98,1.04,2.16
TX-087,"Collingsworth County",1.19,104,0.55,0.64
TX-089,"Colorado County",2.78,71,-0.03,2.81
TX-091,"Comal County",2.22,84,0.35,1.87
TX-093,"Comanche County",2.34,96,0.85,1.49
TX-095,"Concho County",1.77,99,0.69,1.08
TX-097,"Cooke County",5.4,124,3.63,1.77
TX-099,"Coryell County",2.49,87,0.67,1.82
TX-101,"Cottle County",1.24,102,0.55,0.69
TX-103,"Crane County",0.62,88,0.08,0.54
TX-105,"Crockett County",0.83,86,0.11,0.72
TX-107,"Crosby County",0.58,78,0.02,0.56
TX-109,"Culberson County",0.28,70,-0.13,0.41
TX-111,"Dallam County",0.43,86,0.08,0.35
TX-113,"Dallas County",3.72,108,1.56,2.16
TX-115,"Dawson County",0.82,97,0.27,0.55
TX-117,"Deaf Smith County",0.45,77,-0.0,0.45
TX-119,"Delta County",4.32,106,1.5,2.82
TX-121,"Denton County",3.75,114,1.93,1.82
TX-123,"DeWitt County",2.17,74,0.08,2.09
TX-125,"Dickens County",1.21,100,0.59,0.62
TX-127,"Dimmit County",0.35,46,-0.51,0.86
TX-129,"Donley County",0.86,90,0.28,0.58
TX-131,"Duval County",0.4,30,-0.71,1.11
TX-133,"Eastland County",2.25,103,0.94,1.31
TX-135,"Ector County",0.52,82,0.02,0.5
TX-137,"Edwards County",2.14,111,1.2,0.94
TX-139,"Ellis County",2.67,77,0.38,2.29
TX-141,"El Paso County",0.28,56,-0.17,0.45
TX-143,"Erath County",3.28,110,1.67,1.61
TX-145,"Falls County",2.31,69,0.04,2.27
TX-147,"Fannin County",4.05,109,1.6,2.45
TX-149,"Fayette County",2.27,67,-0.28,2.55
TX-151,"Fisher County",1.46,105,0.69,0.77
TX-153,"Floyd County",0.46,66,-0.08,0.54
TX-155,"Foard County",2.07,116,1.25,0.82
TX-157,"Fort Bend County",4.07,89,0.79,3.28
TX-159,"Franklin County",5.64,113,2.47,3.17
TX-161,"Freestone County",2.41,51,-0.47,2.88
TX-163,"Frio County",1.05,77,-0.06,1.11
TX-165,"Gaines County",0.42,74,-0.05,0.47
TX-167,"Galveston County",5.75,107,2.05,3.7
TX-169,"Garza County",0.96,96,0.37,0.59
TX-171,"Gillespie County",2.55,97,1.18,1.37
TX-173,"Glasscock County",0.91,93,0.27,0.64
TX-175,"Goliad County",1.88,73,-0.02,1.9
TX-177,"Gonzales County",2.15,75,0.09,2.06
TX-179,"Gray County",0.51,72,-0.04,0.55
TX-181,"Grayson County",4.81,119,2.79,2.02
TX-183,"Gregg County",5.54,103,1.92,3.62
TX-185,"Grimes County",3.32,71,0.03,3.29
TX-187,"Guadalupe County",2.28,84,0.4,1.88
TX-189,"Hale County",0.34,64,-0.17,0.51
TX-191,"Hall County",0.91,92,0.33,0.58
TX-193,"Hamilton County",2.36,91,0.68,1.68
TX-195,"Hansford County",1.27,118,0.84,0.43
TX-197,"Hardeman County",1.83,113,1.05,0.78
TX-199,"Hardin County",5.05,76,0.67,4.38
TX-201,"Harris County",4.15,80,0.62,3.53
TX-203,"Harrison County",6.22,104,2.23,3.99
TX-205,"Hartley County",0.55,91,0.13,0.42
TX-207,"Haskell County",2.04,115,1.17,0.87
TX-209,"Hays County",2.16,81,0.19,1.97
TX-211,"Hemphill County",0.93,99,0.4,0.53
TX-213,"Henderson County",3.05,72,0.14,2.91
TX-215,"Hidalgo County",0.48,41,-0.7,1.18
TX-217,"Hill County",2.75,83,0.63,2.12
TX-219,"Hockley County",0.29,56,-0.21,0.5
TX-221,"Hood County",3.28,107,1.55,1.73
TX-223,"Hopkins County",4.92,110,2.02,2.9
TX-225,"Houston County",3.98,76,0.33,3.65
TX-227,"Howard County",1.02,97,0.38,0.64
TX-229,"Hudspeth County",0.16,47,-0.26,0.42
TX-231,"Hunt County",3.83,101,1.29,2.54
TX-233,"Hutchinson County",0.38,68,-0.08,0.46
TX-235,"Irion County",1.02,90,0.27,0.75
TX-237,"Jack County",2.61,105,1.15,1.46
TX-239,"Jackson County",3.63,99,1.03,2.6
TX-241,"Jasper County",5.55,81,0.84,4.71
TX-243,"Jeff Davis County",0.55,81,0.04,0.51
TX-245,"Jefferson County",5.01,71,0.65,4.36
TX-247,"Jim Hogg County",0.51,43,-0.51,1.02
TX-249,"Jim Wells County",0.54,36,-0.75,1.29
TX-251,"Johnson County",2.89,91,0.98,1.91
TX-253,"Jones County",2.11,115,1.26,0.85
TX-255,"Karnes County",1.72,75,0.01,1.71
TX-257,"Kaufman County",3.25,88,0.71,2.54
TX-259,"Kendall County",2.96,97,1.34,1.62
TX-261,"Kenedy County",0.24,19,-1.12,1.36
TX-263,"Kent County",1.47,112,0.83,0.64
