February 2020 North Dakota County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
ND-001,"Adams County",23.4,100,6.7,16.7
ND-003,"Barnes County",15.7,95,4.7,11
ND-005,"Benson County",15.0,96,6.3,8.7
ND-007,"Billings County",23.3,100,6.6,16.7
ND-009,"Bottineau County",15.6,99,6.8,8.8
ND-011,"Bowman County",23.2,91,4.8,18.4
ND-013,"Burke County",17.0,102,7.3,9.7
ND-015,"Burleigh County",19.3,100,7.2,12.1
ND-017,"Cass County",13.4,90,2.3,11.1
ND-019,"Cavalier County",11.3,95,5.0,6.3
ND-021,"Dickey County",16.0,89,2.9,13.1
ND-023,"Divide County",17.1,98,6.7,10.4
ND-025,"Dunn County",21.7,99,6.8,14.9
ND-027,"Eddy County",14.9,95,5.5,9.4
ND-029,"Emmons County",18.9,95,5.1,13.8
ND-031,"Foster County",15.3,96,5.3,10
ND-033,"Golden Valley County",23.1,94,5.6,17.5
ND-035,"Grand Forks County",10.5,83,1.6,8.9
ND-037,"Grant County",21.9,97,6.6,15.3
ND-039,"Griggs County",13.7,94,4.4,9.3
ND-041,"Hettinger County",22.7,98,6.6,16.1
ND-043,"Kidder County",16.2,97,5.2,11
ND-045,"LaMoure County",17.1,96,4.6,12.5
ND-047,"Logan County",16.9,96,4.9,12
ND-049,"McHenry County",18.1,102,7.8,10.3
ND-051,"McIntosh County",16.6,91,3.8,12.8
ND-053,"McKenzie County",23.2,106,8.5,14.7
ND-055,"McLean County",20.4,105,8.0,12.4
ND-057,"Mercer County",21.2,100,7.1,14.1
ND-059,"Morton County",21.3,99,7.2,14.1
ND-061,"Mountrail County",19.6,104,7.9,11.7
ND-063,"Nelson County",12.2,95,4.0,8.2
ND-065,"Oliver County",20.9,102,7.2,13.7
ND-067,"Pembina County",10.8,94,3.9,6.9
ND-069,"Pierce County",16.0,101,7.4,8.6
ND-071,"Ramsey County",13.5,97,5.5,8
ND-073,"Ransom County",16.1,94,3.8,12.3
ND-075,"Renville County",17.7,102,7.4,10.3
ND-077,"Richland County",16.0,92,3.3,12.7
ND-079,"Rolette County",14.1,101,7.0,7.1
ND-081,"Sargent County",15.9,91,2.9,13
ND-083,"Sheridan County",19.2,105,8.4,10.8
ND-085,"Sioux County",21.2,96,5.8,15.4
ND-087,"Slope County",23.6,96,5.6,18
ND-089,"Stark County",22.3,98,6.3,16
ND-091,"Steele County",11.0,86,1.5,9.5
ND-093,"Stutsman County",16.7,97,5.3,11.4
ND-095,"Towner County",13.6,101,6.8,6.8
ND-097,"Traill County",10.6,74,0.6,10
ND-099,"Walsh County",10.9,89,3.0,7.9
ND-101,"Ward County",19.3,103,7.8,11.5
ND-103,"Wells County",16.4,97,6.6,9.8
ND-105,"Williams County",20.1,102,7.8,12.3
