January 2020 Virginia County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
VA-001,"Accomack County",43.0,115,5.9,37.1
VA-003,"Albemarle County",40.6,116,6.4,34.2
VA-005,"Alleghany County",37.3,112,5.4,31.9
VA-007,"Amelia County",42.4,115,5.6,36.8
VA-009,"Amherst County",40.0,115,5.7,34.3
VA-011,"Appomattox County",41.0,116,5.6,35.4
VA-013,"Arlington County",40.2,117,6.5,33.7
VA-015,"Augusta County",38.1,117,6.6,31.5
VA-017,"Bath County",36.4,113,5.6,30.8
VA-019,"Bedford County",40.5,112,5.2,35.3
VA-021,"Bland County",37.0,110,5.2,31.8
VA-023,"Botetourt County",38.9,110,4.6,34.3
VA-025,"Brunswick County",44.2,117,6.5,37.7
VA-027,"Buchanan County",39.8,113,6.2,33.6
VA-029,"Buckingham County",41.5,116,5.7,35.8
VA-031,"Campbell County",41.1,116,5.7,35.4
VA-033,"Caroline County",40.8,113,5.4,35.4
VA-035,"Carroll County",38.6,115,6.0,32.6
VA-036,"Charles City County",43.5,110,4.9,38.6
VA-037,"Charlotte County",41.7,115,5.6,36.1
VA-041,"Chesterfield County",42.5,113,5.1,37.4
VA-043,"Clarke County",37.8,116,7.0,30.8
VA-045,"Craig County",37.2,110,5.0,32.2
VA-047,"Culpeper County",40.2,117,7.0,33.2
VA-049,"Cumberland County",41.8,115,5.6,36.2
VA-051,"Dickenson County",39.8,111,6.0,33.8
VA-053,"Dinwiddie County",43.6,116,6.0,37.6
VA-057,"Essex County",41.0,109,4.7,36.3
VA-059,"Fairfax County",39.9,117,6.7,33.2
VA-061,"Fauquier County",39.0,116,7.0,32
VA-063,"Floyd County",37.3,114,5.6,31.7
VA-065,"Fluvanna County",41.3,117,5.9,35.4
VA-067,"Franklin County",40.5,111,5.1,35.4
VA-069,"Frederick County",37.6,116,7.5,30.1
VA-071,"Giles County",37.5,112,5.7,31.8
VA-073,"Gloucester County",43.3,113,5.0,38.3
VA-075,"Goochland County",41.2,114,5.3,35.9
VA-077,"Grayson County",37.0,113,5.7,31.3
VA-079,"Greene County",39.3,117,6.8,32.5
VA-081,"Greensville County",45.0,118,6.6,38.4
VA-083,"Halifax County",42.0,113,5.3,36.7
VA-085,"Hanover County",41.1,111,4.9,36.2
VA-087,"Henrico County",42.1,111,4.8,37.3
VA-089,"Henry County",41.7,112,5.1,36.6
VA-091,"Highland County",34.0,114,5.9,28.1
VA-093,"Isle of Wight County",45.4,116,5.9,39.5
VA-095,"James City County",43.8,113,5.2,38.6
VA-097,"King and Queen County",41.3,107,4.4,36.9
VA-099,"King George County",41.6,117,6.4,35.2
VA-101,"King William County",41.3,107,4.5,36.8
VA-103,"Lancaster County",41.6,110,4.6,37
VA-105,"Lee County",40.5,111,5.6,34.9
VA-107,"Loudoun County",38.2,116,6.9,31.3
VA-109,"Louisa County",40.2,113,5.4,34.8
VA-111,"Lunenburg County",42.9,117,6.2,36.7
VA-113,"Madison County",39.2,117,7.0,32.2
VA-115,"Mathews County",43.3,113,5.1,38.2
VA-117,"Mecklenburg County",43.5,116,6.1,37.4
VA-119,"Middlesex County",42.0,109,4.6,37.4
VA-121,"Montgomery County",38.5,114,5.4,33.1
VA-125,"Nelson County",39.9,117,6.1,33.8
VA-127,"New Kent County",42.2,107,4.5,37.7
VA-131,"Northampton County",44.2,114,5.8,38.4
VA-133,"Northumberland County",41.4,111,5.2,36.2
VA-135,"Nottoway County",42.8,117,6.0,36.8
VA-137,"Orange County",40.3,116,6.4,33.9
VA-139,"Page County",37.9,117,7.2,30.7
VA-141,"Patrick County",40.4,114,5.4,35
VA-143,"Pittsylvania County",41.4,112,4.9,36.5
VA-145,"Powhatan County",41.8,114,5.3,36.5
VA-147,"Prince Edward County",41.7,114,5.5,36.2
VA-149,"Prince George County",43.9,114,5.3,38.6
VA-153,"Prince William County",40.0,117,6.8,33.2
VA-155,"Pulaski County",39.2,115,6.3,32.9
VA-157,"Rappahannock County",38.3,115,7.1,31.2
VA-159,"Richmond County",40.9,107,4.7,36.2
VA-161,"Roanoke County",39.2,110,4.8,34.4
VA-163,"Rockbridge County",38.5,112,5.3,33.2
VA-165,"Rockingham County",38.2,117,7.2,31
VA-167,"Russell County",39.4,113,6.0,33.4
VA-169,"Scott County",41.2,115,6.0,35.2
VA-171,"Shenandoah County",37.9,116,7.2,30.7
VA-173,"Smyth County",38.3,114,6.1,32.2
VA-175,"Southampton County",45.3,116,6.3,39
VA-177,"Spotsylvania County",40.2,114,6.0,34.2
VA-179,"Stafford County",40.8,118,6.8,34
VA-181,"Surry County",44.5,115,5.6,38.9
VA-183,"Sussex County",44.7,116,6.2,38.5
VA-185,"Tazewell County",37.3,111,5.7,31.6
VA-187,"Warren County",37.8,115,7.0,30.8
VA-191,"Washington County",40.1,113,6.0,34.1
