January 2020 Indiana County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IN-001,"Adams County",3.97,110,1.66,2.31
IN-003,"Allen County",3.77,107,1.54,2.23
IN-005,"Bartholomew County",4.91,108,1.72,3.19
IN-007,"Benton County",3.84,112,1.69,2.15
IN-009,"Blackford County",4.16,110,1.71,2.45
IN-011,"Boone County",4.26,112,1.83,2.43
IN-013,"Brown County",4.99,106,1.81,3.18
IN-015,"Carroll County",3.91,109,1.57,2.34
IN-017,"Cass County",3.85,109,1.51,2.34
IN-019,"Clark County",3.94,78,0.32,3.62
IN-021,"Clay County",5.55,114,2.8,2.75
IN-023,"Clinton County",3.96,107,1.57,2.39
IN-025,"Crawford County",5.29,104,1.48,3.81
IN-027,"Daviess County",6.15,112,2.86,3.29
IN-029,"Dearborn County",4.33,96,1.02,3.31
IN-031,"Decatur County",5.5,110,2.32,3.18
IN-033,"DeKalb County",3.61,107,1.49,2.12
IN-035,"Delaware County",4.17,107,1.59,2.58
IN-037,"Dubois County",5.63,111,2.07,3.56
IN-039,"Elkhart County",3.97,119,1.97,2
IN-041,"Fayette County",4.69,108,1.73,2.96
IN-043,"Floyd County",3.84,80,0.13,3.71
IN-045,"Fountain County",4.57,118,2.3,2.27
IN-047,"Franklin County",4.61,106,1.49,3.12
IN-049,"Fulton County",3.83,108,1.66,2.17
IN-051,"Gibson County",6.69,115,3.23,3.46
IN-053,"Grant County",3.97,109,1.51,2.46
IN-055,"Greene County",6.36,115,3.22,3.14
IN-057,"Hamilton County",4.76,114,2.3,2.46
IN-059,"Hancock County",5.23,117,2.58,2.65
IN-061,"Harrison County",4.26,86,0.43,3.83
IN-063,"Hendricks County",5.05,114,2.47,2.58
IN-065,"Henry County",5.22,115,2.49,2.73
IN-067,"Howard County",3.9,109,1.43,2.47
IN-069,"Huntington County",4.12,109,1.75,2.37
IN-071,"Jackson County",5.23,108,1.82,3.41
IN-073,"Jasper County",3.68,111,1.68,2
IN-075,"Jay County",4.21,109,1.7,2.51
IN-077,"Jefferson County",4.59,97,0.98,3.61
IN-079,"Jennings County",4.96,103,1.45,3.51
IN-081,"Johnson County",4.87,109,1.98,2.89
IN-083,"Knox County",6.55,115,3.35,3.2
IN-085,"Kosciusko County",3.8,109,1.69,2.11
IN-087,"LaGrange County",3.79,118,1.84,1.95
IN-089,"Lake County",3.87,118,1.99,1.88
IN-091,"LaPorte County",4.14,120,2.09,2.05
IN-093,"Lawrence County",6.27,113,2.79,3.48
IN-095,"Madison County",4.84,116,2.32,2.52
IN-097,"Marion County",4.7,112,2.08,2.62
IN-099,"Marshall County",3.83,112,1.7,2.13
IN-101,"Martin County",6.22,113,2.81,3.41
IN-103,"Miami County",3.56,105,1.19,2.37
IN-105,"Monroe County",5.56,110,2.35,3.21
IN-107,"Montgomery County",4.06,110,1.66,2.4
IN-109,"Morgan County",5.14,109,2.28,2.86
IN-111,"Newton County",3.79,115,1.83,1.96
IN-113,"Noble County",3.66,108,1.55,2.11
IN-115,"Ohio County",4.09,89,0.64,3.45
IN-117,"Orange County",6.06,110,2.36,3.7
IN-119,"Owen County",5.74,113,2.74,3
IN-121,"Parke County",4.52,113,2.09,2.43
IN-123,"Perry County",4.9,95,0.99,3.91
IN-125,"Pike County",6.28,113,2.85,3.43
IN-127,"Porter County",4.26,121,2.33,1.93
IN-129,"Posey County",5.68,109,2.04,3.64
IN-131,"Pulaski County",4.07,110,1.94,2.13
IN-133,"Putnam County",5.17,115,2.51,2.66
IN-135,"Randolph County",4.58,111,1.92,2.66
IN-137,"Ripley County",5.02,103,1.57,3.45
IN-139,"Rush County",5.08,113,2.18,2.9
IN-141,"St. Joseph County",4.17,117,1.98,2.19
IN-143,"Scott County",4.49,96,0.99,3.5
IN-145,"Shelby County",5.41,112,2.55,2.86
IN-147,"Spencer County",4.59,93,0.8,3.79
IN-149,"Starke County",3.82,111,1.71,2.11
IN-151,"Steuben County",3.62,106,1.58,2.04
IN-153,"Sullivan County",5.58,114,2.8,2.78
IN-155,"Switzerland County",4.02,88,0.51,3.51
IN-157,"Tippecanoe County",3.98,109,1.63,2.35
IN-159,"Tipton County",4.38,110,1.95,2.43
IN-161,"Union County",4.88,110,1.8,3.08
IN-163,"Vanderburgh County",5.2,105,1.55,3.65
IN-165,"Vermillion County",4.93,118,2.63,2.3
IN-167,"Vigo County",5.49,115,2.92,2.57
IN-169,"Wabash County",3.56,108,1.21,2.35
IN-171,"Warren County",4.31,116,2.1,2.21
IN-173,"Warrick County",4.81,102,1.19,3.62
IN-175,"Washington County",4.92,102,1.28,3.64
IN-177,"Wayne County",5.15,111,2.25,2.9
IN-179,"Wells County",4.15,112,1.8,2.35
IN-181,"White County",4.06,112,1.87,2.19
IN-183,"Whitley County",3.65,104,1.39,2.26
