February 2020 New Jersey County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NJ-001,"Atlantic County",3.34,74,0.18,3.16
NJ-003,"Bergen County",2.46,40,-0.68,3.14
NJ-005,"Burlington County",2.95,67,-0.08,3.03
NJ-007,"Camden County",2.8,59,-0.22,3.02
NJ-009,"Cape May County",3.48,83,0.36,3.12
NJ-011,"Cumberland County",3.06,71,0.03,3.03
NJ-013,"Essex County",2.48,39,-0.74,3.22
NJ-015,"Gloucester County",2.76,59,-0.23,2.99
NJ-017,"Hudson County",2.6,49,-0.6,3.2
NJ-019,"Hunterdon County",2.65,61,-0.29,2.94
NJ-021,"Mercer County",2.6,58,-0.34,2.94
NJ-023,"Middlesex County",2.71,56,-0.34,3.05
NJ-025,"Monmouth County",2.9,64,-0.26,3.16
NJ-027,"Morris County",2.52,47,-0.61,3.13
NJ-029,"Ocean County",3.04,61,-0.11,3.15
NJ-031,"Passaic County",2.41,43,-0.72,3.13
NJ-033,"Salem County",2.9,69,-0.02,2.92
NJ-035,"Somerset County",2.56,54,-0.43,2.99
NJ-037,"Sussex County",2.29,49,-0.56,2.85
NJ-039,"Union County",2.52,45,-0.65,3.17
NJ-041,"Warren County",2.72,62,-0.26,2.98
