March 2020 Tennessee County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
TN-001,"Anderson County",53.7,115,6.3,47.4
TN-003,"Bedford County",56.4,119,7.1,49.3
TN-005,"Benton County",54.9,113,5.7,49.2
TN-007,"Bledsoe County",54.2,121,6.9,47.3
TN-009,"Blount County",54.9,119,6.5,48.4
TN-011,"Bradley County",56.7,120,6.9,49.8
TN-013,"Campbell County",51.9,113,5.9,46
TN-015,"Cannon County",54.6,114,6.2,48.4
TN-017,"Carroll County",54.6,113,5.5,49.1
TN-019,"Carter County",50.5,120,7.0,43.5
TN-021,"Cheatham County",55.3,116,6.6,48.7
TN-023,"Chester County",56.3,114,6.4,49.9
TN-025,"Claiborne County",51.1,111,4.9,46.2
TN-027,"Clay County",53.8,113,6.2,47.6
TN-029,"Cocke County",54.4,121,6.9,47.5
TN-031,"Coffee County",55.0,114,6.5,48.5
TN-033,"Crockett County",55.4,115,5.9,49.5
TN-035,"Cumberland County",52.3,117,6.7,45.6
TN-037,"Davidson County",55.2,115,6.3,48.9
TN-039,"Decatur County",55.9,114,6.0,49.9
TN-041,"DeKalb County",54.3,114,6.0,48.3
TN-043,"Dickson County",55.1,116,6.8,48.3
TN-045,"Dyer County",54.9,114,5.7,49.2
TN-047,"Fayette County",57.2,117,6.4,50.8
TN-049,"Fentress County",52.3,119,7.0,45.3
TN-051,"Franklin County",55.8,116,6.6,49.2
TN-053,"Gibson County",54.7,112,5.6,49.1
TN-055,"Giles County",55.8,115,6.4,49.4
TN-057,"Grainger County",52.8,113,5.5,47.3
TN-059,"Greene County",53.9,120,6.5,47.4
TN-061,"Grundy County",53.7,116,6.6,47.1
TN-063,"Hamblen County",53.7,116,5.8,47.9
TN-065,"Hamilton County",56.4,120,6.7,49.7
TN-067,"Hancock County",51.7,111,5.3,46.4
TN-069,"Hardeman County",57.1,117,6.8,50.3
TN-071,"Hardin County",56.7,113,6.3,50.4
TN-073,"Hawkins County",53.1,116,6.0,47.1
TN-075,"Haywood County",56.1,116,6.1,50
TN-077,"Henderson County",55.5,114,5.9,49.6
TN-079,"Henry County",53.9,112,5.2,48.7
TN-081,"Hickman County",55.5,115,6.7,48.8
TN-083,"Houston County",54.7,114,6.2,48.5
TN-085,"Humphreys County",55.0,114,6.2,48.8
TN-087,"Jackson County",54.0,114,5.9,48.1
TN-089,"Jefferson County",54.7,118,6.4,48.3
TN-091,"Johnson County",48.8,122,6.9,41.9
TN-093,"Knox County",54.7,115,6.1,48.6
TN-095,"Lake County",54.4,113,5.6,48.8
TN-097,"Lauderdale County",55.6,115,5.6,50
TN-099,"Lawrence County",55.3,115,6.2,49.1
TN-101,"Lewis County",55.1,114,6.3,48.8
TN-103,"Lincoln County",56.7,116,6.9,49.8
TN-105,"Loudon County",55.3,115,6.2,49.1
TN-107,"McMinn County",56.1,120,6.8,49.3
TN-109,"McNairy County",57.0,115,6.6,50.4
TN-111,"Macon County",52.8,111,5.2,47.6
TN-113,"Madison County",55.9,115,6.2,49.7
TN-115,"Marion County",55.2,116,6.3,48.9
TN-117,"Marshall County",56.6,121,7.5,49.1
TN-119,"Maury County",55.8,117,7.0,48.8
TN-121,"Meigs County",56.0,120,6.8,49.2
TN-123,"Monroe County",54.8,120,6.5,48.3
TN-125,"Montgomery County",54.9,115,6.6,48.3
TN-127,"Moore County",56.3,116,6.9,49.4
TN-129,"Morgan County",53.0,117,6.9,46.1
TN-131,"Obion County",54.1,113,5.6,48.5
TN-133,"Overton County",53.5,115,6.7,46.8
TN-135,"Perry County",55.5,114,6.1,49.4
TN-137,"Pickett County",53.4,119,6.9,46.5
TN-139,"Polk County",55.6,122,6.7,48.9
TN-141,"Putnam County",53.6,115,6.4,47.2
TN-143,"Rhea County",55.0,119,6.8,48.2
TN-145,"Roane County",55.1,116,6.6,48.5
TN-147,"Robertson County",54.0,115,6.1,47.9
TN-149,"Rutherford County",55.2,114,6.1,49.1
TN-151,"Scott County",51.9,116,6.5,45.4
TN-153,"Sequatchie County",54.2,119,6.7,47.5
TN-155,"Sevier County",53.4,121,6.8,46.6
TN-157,"Shelby County",57.4,117,5.9,51.5
TN-159,"Smith County",53.8,112,5.2,48.6
TN-161,"Stewart County",54.3,113,5.8,48.5
TN-163,"Sullivan County",52.8,120,6.7,46.1
TN-165,"Sumner County",53.7,113,5.6,48.1
TN-167,"Tipton County",56.2,115,5.5,50.7
TN-169,"Trousdale County",53.7,110,5.2,48.5
TN-171,"Unicoi County",50.6,120,6.8,43.8
TN-173,"Union County",52.8,113,5.6,47.2
TN-175,"Van Buren County",54.0,117,6.9,47.1
TN-177,"Warren County",54.8,116,6.6,48.2
TN-179,"Washington County",53.5,120,6.7,46.8
TN-181,"Wayne County",55.7,114,6.2,49.5
TN-183,"Weakley County",54.0,113,5.3,48.7
TN-185,"White County",54.0,116,6.6,47.4
TN-187,"Williamson County",55.4,115,6.7,48.7
TN-189,"Wilson County",54.1,112,5.3,48.8
